ID,name,Make,Model,Version,Price,Link,Model Date,Km Run,Energy,Engine Type,City,Color,Assembly,EngineCapacity,image1,image2,image3,image4,image5,Features
11,"
Mazda Scrum  2017 PC for Sale",Mazda,Scrum,PC,"
PKR 9.9 lacs",https://www.pakwheels.com/used-cars/mazda-scrum-2017-for-sale-in-wazirabad-3235364,2017,"

110,000 km","

Petrol","

Manual",Lahore,White,Imported,660 cc,https://cache4.pakwheels.com/ad_pictures/2885/mazda-scrum-pc-2-2017-28850841.jpg,https://cache3.pakwheels.com/ad_pictures/2885/mazda-scrum-pc-2-2017-28850842.jpg,https://cache1.pakwheels.com/ad_pictures/2885/mazda-scrum-pc-2-2017-28850843.jpg,https://cache3.pakwheels.com/ad_pictures/2885/mazda-scrum-pc-2-2017-28850844.jpg,https://cache1.pakwheels.com/ad_pictures/2885/mazda-scrum-pc-2-2017-28850846.jpg,"['ABS', 'AM/FM Radio', 'Air Bags', 'Air Conditioning', 'Alloy Rims', 'CD Player', 'CoolBox', 'DVD Player', 'Immobilizer Key', 'Keyless Entry', 'Power Locks', 'Power Mirrors', 'Power Steering', 'Power Windows']"
12,"
Mazda Scrum  2013 PA for Sale",Mazda,Scrum,,"
PKR 10.75 lacs",https://www.pakwheels.com/used-cars/mazda-scrum-2013-for-sale-in-gujranwala-3160935,2013,"

35,000 km","

Petrol","

Manual",Un-Registered,White,Imported,660 cc,https://cache4.pakwheels.com/ad_pictures/2799/mazda-scrum-pa-2-2013-27996193.jpg,https://cache4.pakwheels.com/ad_pictures/2799/mazda-scrum-pa-2-2013-27996194.jpg,https://cache1.pakwheels.com/ad_pictures/2799/mazda-scrum-pa-2-2013-27996195.jpg,https://cache2.pakwheels.com/ad_pictures/2799/mazda-scrum-pa-2-2013-27996197.jpg,https://cache1.pakwheels.com/ad_pictures/2799/mazda-scrum-pa-2-2013-27996199.jpg,"['ABS', 'AM/FM Radio', 'Air Bags', 'Air Conditioning', 'Immobilizer Key', 'Keyless Entry', 'Power Locks', 'Power Steering']"
13,"
Mazda Scrum  2013 PC for Sale",Mazda,Scrum,,"
PKR 10.75 lacs",https://www.pakwheels.com/used-cars/mazda-scrum-2013-for-sale-in-gujranwala-3057865,2013,"

35,000 km","

Petrol","

Manual",Un-Registered,Silver,Imported,660 cc,https://cache4.pakwheels.com/ad_pictures/2685/mazda-scrum-pc-2-2013-26851543.jpg,https://cache1.pakwheels.com/ad_pictures/2685/mazda-scrum-pc-2-2013-26851549.jpg,https://cache2.pakwheels.com/ad_pictures/2685/mazda-scrum-pc-2-2013-26851550.jpg,https://cache4.pakwheels.com/ad_pictures/2685/mazda-scrum-pc-2-2013-26851553.jpg,https://cache3.pakwheels.com/ad_pictures/2685/mazda-scrum-pc-2-2013-26851556.jpg,"['ABS', 'AM/FM Radio', 'Air Bags', 'Air Conditioning', 'Alloy Rims', 'CD Player', 'DVD Player', 'Immobilizer Key', 'Keyless Entry', 'Power Locks', 'Power Steering', 'Power Windows']"
14,"
Mazda Scrum  2013  for Sale",Mazda,Scrum,,"
PKR 13.52 lacs",https://www.pakwheels.com/used-cars/mazda-scrum-2013-for-sale-in-lahore-3244213,2013,"

40,400 km","

Petrol","

Automatic",Un-Registered,Silver,Imported,660 cc,https://cache3.pakwheels.com/ad_pictures/2895/suzuki-every-wagon-pz-turbo-2-2013-28953394.jpg,https://cache4.pakwheels.com/ad_pictures/2895/suzuki-every-wagon-pz-turbo-2-2013-28953398.jpg,https://cache3.pakwheels.com/ad_pictures/2895/suzuki-every-wagon-pz-turbo-2-2013-28953393.jpg,https://cache2.pakwheels.com/ad_pictures/2895/suzuki-every-wagon-pz-turbo-2-2013-28953396.jpg,https://cache3.pakwheels.com/ad_pictures/2895/suzuki-every-wagon-pz-turbo-2-2013-28953397.jpg,"['ABS', 'AM/FM Radio', 'Air Bags', 'Air Conditioning', 'Alloy Rims', 'CD Player', 'Keyless Entry', 'Power Locks', 'Power Mirrors', 'Power Steering', 'Power Windows']"
15,"
Mazda Scrum  2013 PC for Sale",Mazda,Scrum,PC,"
PKR 11.25 lacs",https://www.pakwheels.com/used-cars/mazda-scrum-2013-for-sale-in-gujranwala-3264934,2013,"

50,000 km","

Petrol","

Manual",Un-Registered,White,Imported,660 cc,https://cache3.pakwheels.com/ad_pictures/2919/mazda-scrum-pc-2-2013-29191208.jpg,https://cache3.pakwheels.com/ad_pictures/2919/mazda-scrum-pc-2-2013-29191209.jpg,https://cache3.pakwheels.com/ad_pictures/2919/mazda-scrum-pc-2-2013-29191210.jpg,https://cache1.pakwheels.com/ad_pictures/2919/mazda-scrum-pc-2-2013-29191211.jpg,https://cache4.pakwheels.com/ad_pictures/2919/mazda-scrum-pc-2-2013-29191212.jpg,"['ABS', 'AM/FM Radio', 'Air Bags', 'Air Conditioning', 'Front Speakers', 'Immobilizer Key', 'Keyless Entry', 'Power Locks', 'Power Steering', 'Power Windows']"
16,"
Mazda Scrum  2014 PC for Sale",Mazda,Scrum,PC,"
PKR 9.95 lacs",https://www.pakwheels.com/used-cars/mazda-scrum-2014-for-sale-in-lahore-2895746,2014,"

75,000 km","

Petrol","

Automatic",Un-Registered,Silver,Imported,660 cc,https://cache3.pakwheels.com/ad_pictures/2513/mazda-scrum-pa-2-2014-25132461.jpg,https://cache1.pakwheels.com/ad_pictures/2513/mazda-scrum-pa-2-2014-25132462.jpg,https://cache2.pakwheels.com/ad_pictures/2513/mazda-scrum-pa-2-2014-25132463.jpg,https://cache3.pakwheels.com/ad_pictures/2513/mazda-scrum-pa-2-2014-25132464.jpg,https://cache4.pakwheels.com/ad_pictures/2513/mazda-scrum-pa-2-2014-25132465.jpg,"['ABS', 'AM/FM Radio', 'Air Bags', 'Air Conditioning', 'CD Player', 'DVD Player', 'Immobilizer Key', 'Navigation System', 'Power Locks', 'Power Steering', 'Power Windows']"
17,"
Mazda Scrum  2009  for Sale",Mazda,Scrum,,"
PKR 6.5 lacs",https://www.pakwheels.com/used-cars/mazda-scrum-2009-for-sale-in-karachi-3262676,2009,"

100,000 km","

Petrol","

Automatic",Karachi,White,Imported,660 cc,https://cache2.pakwheels.com/ad_pictures/2916/mazda-scrum-2009-29166768.jpg,https://cache2.pakwheels.com/ad_pictures/2916/mazda-scrum-2009-29166769.jpg,https://cache1.pakwheels.com/ad_pictures/2916/mazda-scrum-2009-29166995.jpg,https://cache2.pakwheels.com/ad_pictures/2916/mazda-scrum-2009-29166764.jpg,https://cache4.pakwheels.com/ad_pictures/2916/mazda-scrum-2009-29166774.jpg,"['ABS', 'AM/FM Radio', 'Air Bags', 'Air Conditioning', 'Keyless Entry', 'Power Locks', 'Power Steering', 'Power Windows', 'Sun Roof']"
18,"
Mazda Scrum  2013  for Sale",Mazda,Scrum,,"
PKR 13.58 lacs",https://www.pakwheels.com/used-cars/mazda-scrum-2013-for-sale-in-lahore-3255962,2013,"

40,400 km","

Petrol","

Automatic",Un-Registered,Silver,Imported,660 cc,https://cache3.pakwheels.com/ad_pictures/2909/mazda-scrum-2013-29090206.jpg,https://cache2.pakwheels.com/ad_pictures/2909/mazda-scrum-2013-29090209.jpg,https://cache3.pakwheels.com/ad_pictures/2909/mazda-scrum-2013-29090201.jpg,https://cache4.pakwheels.com/ad_pictures/2909/mazda-scrum-2013-29090200.jpg,https://cache1.pakwheels.com/ad_pictures/2909/mazda-scrum-2013-29090210.jpg,"['ABS', 'AM/FM Radio', 'Air Bags', 'Air Conditioning', 'Alloy Rims', 'Keyless Entry', 'Power Locks', 'Power Mirrors', 'Power Steering', 'Power Windows']"
19,"
Mazda Scrum  2013  for Sale",Mazda,Scrum,,"
PKR 13.6 lacs",https://www.pakwheels.com/used-cars/mazda-scrum-2013-for-sale-in-lahore-3255953,2013,"

40,434 km","

Petrol","

Automatic",Un-Registered,Silver,Imported,660 cc,https://cache1.pakwheels.com/ad_pictures/2909/suzuki-every-wagon-pz-turbo-2-2013-29090057.jpg,https://cache2.pakwheels.com/ad_pictures/2909/suzuki-every-wagon-pz-turbo-2-2013-29090046.jpg,https://cache4.pakwheels.com/ad_pictures/2909/suzuki-every-wagon-pz-turbo-2-2013-29090047.jpg,https://cache3.pakwheels.com/ad_pictures/2909/suzuki-every-wagon-pz-turbo-2-2013-29090045.jpg,https://cache3.pakwheels.com/ad_pictures/2909/suzuki-every-wagon-pz-turbo-2-2013-29090074.jpg,"['ABS', 'AM/FM Radio', 'Air Bags', 'Air Conditioning', 'Alloy Rims', 'CD Player', 'Keyless Entry', 'Power Locks', 'Power Mirrors', 'Power Steering', 'Power Windows']"
20,"
Mazda Scrum  2010  for Sale",Mazda,Scrum,,"
PKR 8.7 lacs",https://www.pakwheels.com/used-cars/mazda-scrum-2010-for-sale-in-islamabad-3235545,2010,"

55,000 km","

Petrol","

Automatic",Islamabad,Turquoise,Imported,660 cc,https://cache2.pakwheels.com/ad_pictures/2885/mazda-scrum-2010-v-1-28853028.jpg,https://cache2.pakwheels.com/ad_pictures/2885/suzuki-alto-eco-s-2010-28853024.jpg,https://cache2.pakwheels.com/ad_pictures/2885/suzuki-alto-eco-s-2010-28853027.jpg,https://cache4.pakwheels.com/ad_pictures/2885/suzuki-alto-eco-s-2010-28853026.jpg,,"['ABS', 'AM/FM Radio', 'Air Bags', 'Air Conditioning', 'CD Player', 'Keyless Entry', 'Power Locks', 'Power Mirrors', 'Power Steering', 'Power Windows']"
21,"
Mazda Scrum  2012  for Sale",Mazda,Scrum,,"
PKR 9.4 lacs",https://www.pakwheels.com/used-cars/mazda-scrum-2012-for-sale-in-gujranwala-3250762,2012,"

71,000 km","

Petrol","

Automatic",Lahore,White,Imported,660 cc,https://cache1.pakwheels.com/ad_pictures/2902/mazda-scrum-2018-29029116.jpg,https://cache1.pakwheels.com/ad_pictures/2902/mazda-scrum-2018-29029123.jpg,https://cache1.pakwheels.com/ad_pictures/2902/mazda-scrum-2018-29029122.jpg,https://cache4.pakwheels.com/ad_pictures/2902/mazda-scrum-2018-29029114.jpg,https://cache1.pakwheels.com/ad_pictures/2902/mazda-scrum-2018-29029115.jpg,[]
22,"
Mazda Scrum  2018  for Sale",Mazda,Scrum,,"
PKR 11 lacs",https://www.pakwheels.com/used-cars/mazda-scrum-2018-for-sale-in-gujranwala-3239182,2018,"

50,000 km","

Petrol","

Manual",Lahore,White,Imported,600 cc,https://cache4.pakwheels.com/ad_pictures/2889/mazda-scrum-2018-28894207.jpg,https://cache1.pakwheels.com/ad_pictures/2889/mazda-scrum-2018-28894208.jpg,,,,"['ABS', 'AM/FM Radio', 'CD Player', 'DVD Player', 'Power Steering']"
23,"
Mazda Scrum  2013 PA for Sale",Mazda,Scrum,,"
PKR 10.25 lacs",https://www.pakwheels.com/used-cars/mazda-scrum-2013-for-sale-in-lahore-2603715,2013,"

50,000 km","

Petrol","

Automatic",Un-Registered,White,Imported,660 cc,https://cache1.pakwheels.com/ad_pictures/2213/mazda-scrum-pa-2-2013-22138438.jpg,https://cache4.pakwheels.com/ad_pictures/2213/mazda-scrum-pa-2-2013-22138442.jpg,https://cache4.pakwheels.com/ad_pictures/2213/mazda-scrum-pa-2-2013-22138449.jpg,https://cache2.pakwheels.com/ad_pictures/2213/mazda-scrum-pa-2-2013-22138452.jpg,https://cache1.pakwheels.com/ad_pictures/2213/mazda-scrum-pa-2-2013-22138454.jpg,"['ABS', 'AM/FM Radio', 'Air Bags', 'Air Conditioning', 'Power Locks', 'Power Mirrors', 'Power Steering', 'Power Windows']"
24,"
Mazda Scrum  2013 PA for Sale",Mazda,Scrum,,"
PKR 9 lacs",https://www.pakwheels.com/used-cars/mazda-scrum-2013-for-sale-in-karachi-3190953,2013,"

65,000 km","

Petrol","

Automatic",Un-Registered,White,Imported,660 cc,https://cache4.pakwheels.com/ad_pictures/2833/mazda-scrum-pa-2-2013-28334643.jpg,https://cache3.pakwheels.com/ad_pictures/2833/mazda-scrum-pa-2-2013-28334645.jpg,https://cache2.pakwheels.com/ad_pictures/2833/mazda-scrum-pa-2-2013-28334648.jpg,https://cache2.pakwheels.com/ad_pictures/2833/mazda-scrum-pa-2-2013-28334650.jpg,https://cache3.pakwheels.com/ad_pictures/2833/mazda-scrum-pa-2-2013-28334651.jpg,"['ABS', 'Air Bags', 'Air Conditioning', 'Power Mirrors', 'Power Windows']"
25,"
Mazda Scrum  2013  for Sale",Mazda,Scrum,,"
PKR 7.85 lacs",https://www.pakwheels.com/used-cars/mazda-scrum-2013-for-sale-in-islamabad-3185756,2013,"

100,000 km","

Petrol","

Automatic",Islamabad,White,Imported,660 cc,https://cache3.pakwheels.com/ad_pictures/2827/buick-any-model-225-2013-28274916.jpg,https://cache3.pakwheels.com/ad_pictures/2827/buick-any-model-225-2013-28274927.jpg,https://cache1.pakwheels.com/ad_pictures/2827/buick-any-model-225-2013-28274917.jpg,https://cache1.pakwheels.com/ad_pictures/2827/buick-any-model-225-2013-28274912.jpg,https://cache3.pakwheels.com/ad_pictures/2827/buick-any-model-225-2013-28274915.jpg,[]
26,"
Mazda Scrum  2012 PA for Sale",Mazda,Scrum,,"
PKR 7 lacs",https://www.pakwheels.com/used-cars/mazda-scrum-2012-for-sale-in-wazirabad-3210539,2012,"

100,000 km","

Petrol","

Automatic",Lahore,White,Imported,660 cc,https://cache1.pakwheels.com/ad_pictures/2856/mazda-scrum-pa-2-2012-28561755.jpg,https://cache1.pakwheels.com/ad_pictures/2856/mazda-scrum-pa-2-2012-28561760.jpg,https://cache1.pakwheels.com/ad_pictures/2856/mazda-scrum-pa-2-2012-28561763.jpg,https://cache2.pakwheels.com/ad_pictures/2856/mazda-scrum-pa-2-2012-28561766.jpg,,"['ABS', 'Air Bags', 'Air Conditioning', 'Alloy Rims', 'CD Player']"
27,"
Mazda Scrum  2014  for Sale",Mazda,Scrum,,"
PKR 9.84 lacs",https://www.pakwheels.com/used-cars/mazda-scrum-2014-for-sale-in-multan-3095740,2014,"

44,000 km","

Petrol","

Automatic",Un-Registered,Silver,Imported,660 cc,https://cache4.pakwheels.com/ad_pictures/2726/suzuki-every-pc-2014-27268513.jpg,https://cache1.pakwheels.com/ad_pictures/2726/suzuki-every-pc-2014-27268517.jpg,https://cache4.pakwheels.com/ad_pictures/2726/suzuki-every-pc-2014-27268515.jpg,https://cache4.pakwheels.com/ad_pictures/2726/suzuki-every-pc-2014-27268516.jpg,https://cache3.pakwheels.com/ad_pictures/2726/suzuki-every-pc-2014-27268514.jpg,"['ABS', 'AM/FM Radio', 'Air Bags', 'Air Conditioning', 'Immobilizer Key', 'Keyless Entry', 'Power Locks', 'Power Steering', 'Power Windows']"
28,"
Mazda Scrum  2012 PA for Sale",Mazda,Scrum,PA,"

                        Call",https://www.pakwheels.com/used-cars/mazda-scrum-2012-for-sale-in-rawalpindi-3227608,2012,"

51,000 km","

Petrol","

Automatic",Un-Registered,Black,Imported,660 cc,https://cache2.pakwheels.com/ad_pictures/2876/mazda-scrum-pa-2-2012-28761134.jpg,https://cache4.pakwheels.com/ad_pictures/2876/mazda-scrum-pa-2-2012-28761136.jpg,https://cache2.pakwheels.com/ad_pictures/2876/mazda-scrum-pa-2-2012-28761137.jpg,https://cache3.pakwheels.com/ad_pictures/2876/mazda-scrum-pa-2-2012-28761138.jpg,https://cache2.pakwheels.com/ad_pictures/2876/mazda-scrum-pa-2-2012-28761139.jpg,"['ABS', 'AM/FM Radio', 'Air Bags', 'Air Conditioning', 'Alloy Rims', 'CD Player', 'Cassette Player', 'DVD Player', 'Keyless Entry', 'Navigation System', 'Power Locks', 'Power Mirrors', 'Power Steering', 'Power Windows']"
29,"
Mazda Scrum  2012  for Sale",Mazda,Scrum,,"
PKR 9.5 lacs",https://www.pakwheels.com/used-cars/mazda-scrum-2012-for-sale-in-lahore-3224041,2012,"

183,000 km","

Petrol","

Automatic",Lahore,White,Imported,660 cc,https://cache4.pakwheels.com/ad_pictures/2872/mazda-scrum-2012-28720177.jpg,https://cache4.pakwheels.com/ad_pictures/2872/mazda-scrum-2012-28720178.jpg,https://cache2.pakwheels.com/ad_pictures/2872/mazda-scrum-2012-28720179.jpg,https://cache1.pakwheels.com/ad_pictures/2872/mazda-scrum-2012-28720180.jpg,https://cache2.pakwheels.com/ad_pictures/2872/mazda-scrum-2012-28720181.jpg,"['AM/FM Radio', 'Air Conditioning', 'Power Mirrors', 'Power Steering']"
30,"
Mazda Scrum  2011 BUSTER for Sale",Mazda,Scrum,BUSTER,"
PKR 12.88 lacs",https://www.pakwheels.com/used-cars/mazda-scrum-2011-for-sale-in-faisalabad-3223836,2011,"

90,000 km","

Petrol","

Automatic",Lahore,Black,Imported,660 cc,,,,,,[]
